noise_step,rho,layer,layer_pos,mean_cosine,n_images,variant,exclude_classifier
400,0.4,features.5.2,11,0.4359047029167414,20,with_classifier,False
400,0.4,features.5.3,12,0.4397150724381208,20,with_classifier,False
400,0.4,features.5.4,13,0.45212632589042184,20,with_classifier,False
400,0.4,features.5.5,14,0.4630996447056532,20,with_classifier,False
400,0.4,features.5.6,15,0.4600334505736828,20,with_classifier,False
400,0.4,features.5.7,16,0.46469349019229417,20,with_classifier,False
400,0.4,features.5.8,17,0.4717732144147157,20,with_classifier,False
400,0.4,features.5.9,18,0.47451791219413286,20,with_classifier,False
400,0.4,features.5.10,19,0.47868441484868524,20,with_classifier,False
400,0.4,features.5.11,20,0.47210296742618085,20,with_classifier,False
400,0.4,features.5.12,21,0.46408639118075373,20,with_classifier,False
400,0.4,features.5.13,22,0.46351810380816455,20,with_classifier,False
400,0.4,features.5.14,23,0.4641660015285015,20,with_classifier,False
400,0.4,features.5.15,24,0.4644906202703714,20,with_classifier,False
400,0.4,features.5.16,25,0.4622397678345441,20,with_classifier,False
400,0.4,features.5.17,26,0.46058779373764996,20,with_classifier,False
400,0.4,features.5.18,27,0.4613938942924142,20,with_classifier,False
400,0.4,features.5.19,28,0.46523908723145724,20,with_classifier,False
400,0.4,features.5.20,29,0.4675791785120964,20,with_classifier,False
400,0.4,features.5.21,30,0.47728144235908987,20,with_classifier,False
400,0.4,features.5.22,31,0.4824622158706188,20,with_classifier,False
400,0.4,features.5.23,32,0.48839826252311463,20,with_classifier,False
400,0.4,features.5.24,33,0.5010919791832567,20,with_classifier,False
400,0.4,features.5.25,34,0.5157495472952723,20,with_classifier,False
400,0.4,features.5.26,35,0.5280072873830794,20,with_classifier,False
400,0.4,features.6,36,0.5953768289461732,20,with_classifier,False
400,0.4,features.7.0,37,0.5979623777791858,20,with_classifier,False
400,0.4,features.7.1,38,0.6056274055689573,20,with_classifier,False
400,0.4,features.7.2,39,0.6108584382012486,20,with_classifier,False
400,0.4,classifier,40,0.8376644484698772,20,with_classifier,False
600,0.6,features.0,0,0.19362280551344155,20,with_classifier,False
600,0.6,features.1.0,1,0.2241779494797811,20,with_classifier,False
600,0.6,features.1.1,2,0.19753808391280472,20,with_classifier,False
600,0.6,features.1.2,3,0.16681356664747,20,with_classifier,False
600,0.6,features.2,4,0.16935983177507297,20,with_classifier,False
600,0.6,features.3.0,5,0.16111103605479002,20,with_classifier,False
600,0.6,features.3.1,6,0.15245665496215224,20,with_classifier,False
600,0.6,features.3.2,7,0.1441098488867283,20,with_classifier,False
600,0.6,features.4,8,0.22002581926994025,20,with_classifier,False
600,0.6,features.5.0,9,0.21406852010637523,20,with_classifier,False
600,0.6,features.5.1,10,0.20690532291308045,20,with_classifier,False
600,0.6,features.5.2,11,0.20684281997382642,20,with_classifier,False
600,0.6,features.5.3,12,0.2067434373125434,20,with_classifier,False
600,0.6,features.5.4,13,0.21408669512718914,20,with_classifier,False
600,0.6,features.5.5,14,0.21769703255966305,20,with_classifier,False
600,0.6,features.5.6,15,0.21361607499420643,20,with_classifier,False
600,0.6,features.5.7,16,0.21372112469747662,20,with_classifier,False
600,0.6,features.5.8,17,0.21488738077692687,20,with_classifier,False
600,0.6,features.5.9,18,0.21442995299585163,20,with_classifier,False
600,0.6,features.5.10,19,0.21282513507641854,20,with_classifier,False
600,0.6,features.5.11,20,0.20588409615680575,20,with_classifier,False
600,0.6,features.5.12,21,0.19853798408061266,20,with_classifier,False
600,0.6,features.5.13,22,0.19763526343740523,20,with_classifier,False
600,0.6,features.5.14,23,0.195604167021811,20,with_classifier,False
600,0.6,features.5.15,24,0.19365302251186223,20,with_classifier,False
600,0.6,features.5.16,25,0.19079980723094198,20,with_classifier,False
600,0.6,features.5.17,26,0.18737358681857585,20,with_classifier,False
600,0.6,features.5.18,27,0.18715989920310677,20,with_classifier,False
600,0.6,features.5.19,28,0.18831604231148957,20,with_classifier,False
600,0.6,features.5.20,29,0.18787405394483359,20,with_classifier,False
600,0.6,features.5.21,30,0.19106008351780474,20,with_classifier,False
600,0.6,features.5.22,31,0.19197426637634635,20,with_classifier,False
600,0.6,features.5.23,32,0.19450578912161293,20,with_classifier,False
600,0.6,features.5.24,33,0.2002028869604692,20,with_classifier,False
600,0.6,features.5.25,34,0.20709046963602304,20,with_classifier,False
600,0.6,features.5.26,35,0.2118995507247746,20,with_classifier,False
600,0.6,features.6,36,0.23536689661443236,20,with_classifier,False
600,0.6,features.7.0,37,0.23478192791575564,20,with_classifier,False
600,0.6,features.7.1,38,0.23656141263665634,20,with_classifier,False
600,0.6,features.7.2,39,0.23646270245895723,20,with_classifier,False
600,0.6,classifier,40,0.4340824347059242,20,with_classifier,False
800,0.8,features.0,0,0.07985814894098439,20,with_classifier,False
800,0.8,features.1.0,1,0.09314597106305882,20,with_classifier,False
800,0.8,features.1.1,2,0.08740188287309138,20,with_classifier,False
800,0.8,features.1.2,3,0.07538956584583503,20,with_classifier,False
800,0.8,features.2,4,0.06369801812921651,20,with_classifier,False
800,0.8,features.3.0,5,0.058684658870333806,20,with_classifier,False
800,0.8,features.3.1,6,0.057136238139355554,20,with_classifier,False
800,0.8,features.3.2,7,0.05275935251847841,20,with_classifier,False
800,0.8,features.4,8,0.07914387900033035,20,with_classifier,False
800,0.8,features.5.0,9,0.07390404596342705,20,with_classifier,False
800,0.8,features.5.1,10,0.06796530018822523,20,with_classifier,False
800,0.8,features.5.2,11,0.0660289009049302,20,with_classifier,False
800,0.8,features.5.3,12,0.06490831592469476,20,with_classifier,False
800,0.8,features.5.4,13,0.0671915211436135,20,with_classifier,False
800,0.8,features.5.5,14,0.06694617676752387,20,with_classifier,False
800,0.8,features.5.6,15,0.06508293493126985,20,with_classifier,False
800,0.8,features.5.7,16,0.06294421162107028,20,with_classifier,False
800,0.8,features.5.8,17,0.06126355086104013,20,with_classifier,False
800,0.8,features.5.9,18,0.05973361281532561,20,with_classifier,False
