noise_step,rho,image_name,group,auc,half_life
800,0.8,ILSVRC2012_val_00000487,high,0.03662163651282996,0.005202950562443084
800,0.8,ILSVRC2012_val_00000681,low,0.02897219624957264,0.005588787005920042
800,0.8,ILSVRC2012_val_00000681,high,0.030105526994273532,0.005224872843967541
800,0.8,ILSVRC2012_val_00000729,low,0.0460440383288078,0.005407916583596151
800,0.8,ILSVRC2012_val_00000729,high,0.037802821899424695,0.005227092789712095
800,0.8,ILSVRC2012_val_00000974,low,0.03971159178503149,0.00531923303616025
800,0.8,ILSVRC2012_val_00000974,high,0.049777951838143056,0.005226183010463067
800,0.8,ILSVRC2012_val_00003449,low,0.03623337759092101,0.005377216590202342
800,0.8,ILSVRC2012_val_00003449,high,0.041191727190637406,0.005355923597705132
800,0.8,ILSVRC2012_val_00005130,low,0.024353282634168867,0.005661911277160844
800,0.8,ILSVRC2012_val_00005130,high,0.03079117628888829,0.0053638536572422095
800,0.8,ILSVRC2012_val_00006808,low,0.047347348357851544,0.005414070939125417
800,0.8,ILSVRC2012_val_00006808,high,0.019225639451930572,0.005089998135435304
800,0.8,ILSVRC2012_val_00010733,low,0.030388937766372692,0.005529299801542413
800,0.8,ILSVRC2012_val_00010733,high,0.03639935760928589,0.005302707924847629
800,0.8,ILSVRC2012_val_00014541,low,0.022730980825877243,0.005349955429838381
800,0.8,ILSVRC2012_val_00014541,high,0.04680910679991939,0.005497566330470802
800,0.8,ILSVRC2012_val_00018922,low,0.046532325866573965,0.006503530596888146
800,0.8,ILSVRC2012_val_00018922,high,0.04911276953155175,0.005806068324458869
800,0.8,ILSVRC2012_val_00025924,low,0.03071863467058089,0.005318295228536393
800,0.8,ILSVRC2012_val_00025924,high,0.04298258898796242,0.005324601370026659
800,0.8,ILSVRC2012_val_00027450,low,0.024440336521642167,0.005374479403880113
800,0.8,ILSVRC2012_val_00027450,high,0.05627533292438602,0.005489257540390005
800,0.8,ILSVRC2012_val_00029063,low,0.028962376703881697,0.005231614492188384
800,0.8,ILSVRC2012_val_00029063,high,0.05094243843552734,0.005379595436653445
800,0.8,ILSVRC2012_val_00030419,low,0.03150974711970533,0.005414876678580791
800,0.8,ILSVRC2012_val_00030419,high,0.046976700153618975,0.00615446651850719
800,0.8,ILSVRC2012_val_00030425,low,0.03852431077085203,0.00568881832395573
800,0.8,ILSVRC2012_val_00030425,high,0.03269712029640019,0.0052381104409890585
800,0.8,ILSVRC2012_val_00035318,low,0.03604895292389361,0.006038222598759863
800,0.8,ILSVRC2012_val_00035318,high,0.032249230122843676,0.005349818911118948
800,0.8,ILSVRC2012_val_00035574,low,0.018287791220092914,0.005417560072348129
800,0.8,ILSVRC2012_val_00035574,high,0.03857858421691344,0.005262721370198895
800,0.8,ILSVRC2012_val_00036158,low,0.03349485411681235,0.00537440803434359
800,0.8,ILSVRC2012_val_00036158,high,0.019776080045213654,0.005155473871644856
800,0.8,ILSVRC2012_val_00041330,low,0.005443621426602478,0.00514344448981797
800,0.8,ILSVRC2012_val_00041330,high,0.03153592618135735,0.00523120091561088
800,0.8,ILSVRC2012_val_00048463,low,0.03065923336910297,0.005333537456589226
800,0.8,ILSVRC2012_val_00048463,high,0.03925965032372915,0.005316872456212251
999,0.999,ILSVRC2012_val_00000487,low,0.014874134516741229,0.005053102007964166
999,0.999,ILSVRC2012_val_00000487,high,0.03433352332210052,0.005144996850562449
999,0.999,ILSVRC2012_val_00000681,low,0.02521705448124946,0.005100912797763661
999,0.999,ILSVRC2012_val_00000681,high,0.028631506800030668,0.0051353471334389215
999,0.999,ILSVRC2012_val_00000729,low,0.03972485774835029,0.005385293719184755
999,0.999,ILSVRC2012_val_00000729,high,0.035520794099352014,0.0053883465626582555
999,0.999,ILSVRC2012_val_00000974,low,0.03705236102964651,0.005253609006933522
999,0.999,ILSVRC2012_val_00000974,high,0.04922082131670322,0.0052028670504121015
999,0.999,ILSVRC2012_val_00003449,low,0.028961668400811803,0.0051618269666749384
999,0.999,ILSVRC2012_val_00003449,high,0.040213202701658395,0.005229743296222528
999,0.999,ILSVRC2012_val_00005130,low,0.028882406044479763,0.005180683186372935
999,0.999,ILSVRC2012_val_00005130,high,0.029932589181504838,0.00512939664146185
999,0.999,ILSVRC2012_val_00006808,low,0.038893083722544054,0.005112842853554986
999,0.999,ILSVRC2012_val_00006808,high,0.018769208342962276,0.005112989052886465
999,0.999,ILSVRC2012_val_00010733,low,0.020595233775384254,0.005107176698919397
